Slang,Meaning,Meaning1,Meaning2,Meaning3
manzi,msichana,,,
slay,msichana,,,
queen,msichana,,,
mshi,msichana,,,
chick,msichana,,,
mradi,msichana,,,
chile,msichana,,,
dame,msichana,,,
fit sana,mzuri,,,
fit,mzuri,,,
sasa,habari yako,,,
chali,mvulana,,,
mhi,mvulana,,,
kijanaa,mvulana,,,
jamaa,mvulana,,,
aguy,mvulana,,,
kitu zii sana,kitu kibaya,,,
kucheki,kuangalia,,,
kuenda tao,kuenda mjini,,,
kukatia,"kumwambia unayempenda maneno matamu, kutongoza",,,
kufeel fly,kujifanya,,,
kujisikia,kujifanya,,,
kuji-do,kuwa na maringo,,,
kupata ball,kupata mimba,,,
kugonga mawe,kujaribu kumwongelesha msichana ambaye hataki kuongea na huyo anayemwongelesha,,,
kugonga wall,kujaribu kumwongelesha msichana ambaye hataki kuongea na huyo anayemwongelesha,,,
kulapa mtu,kujidai kuwa humwoni mtu,,,
tia ritho,kuangalia,,,
kushona,kupata mimba,,,
kuchill,hali ya kutofanya mapenzi kabla ya ndoa,,,
kusota,hali ya kuwa bila pesa,,,
kuhanya,kufanya mapenzi kiholela,,,
keroro,mvinyo,pombe,,
kugotea,kusalimia,,,
kuwa gauge,hali ya kuwa mlevi,,,
mahaga,sehemu ya nyuma ya msichana,matako,,
ndae,gari,,,
kutia ndani,kula,,,
kupewa,kunywa pombe,,,
daewoo,polisi,,,
karao,polisi,,,
mchoro,mpangilio wa kufanya kitu,,,
mgondi,jambazi,,,
juala,kondomu,,,
kutia zii,kuachana na kitu ambacho unafanya,,,
msupa,msichana,,,
mresh,msichana,,,
kula vako,kuamini uongo,,,
veve,miraa,,,
gichagi,sehemu za mashambani,,,
moti ,gari,,,
chapaa,pesa,,,
buda,baba,,,
mbuyu,baba,,,
budaa,baba,,,
kingoso,kiingereza,,,
dem,msichana,,,
kubonga,kuzungumza,,,
kuush,kuondoka,kwenda,kutoweka,
kunoki,kukasirika,,,
kuduu,kufanya jambo,,,
kujienjoy,kujifurahisha,kustarehe,,
kujibamba,kustarehe,kujifurahisha,,
kusosi,kula,,,
kudim,kumaliza,,,
kuwea,kuvaa,,,
tao,mji,,,
mat,matatu,,,
hao,nyumba,,,
swa,kiswahili,swahili,,
cole,chuo,,,
pero,mzazi,,,
hasii,mume wa,bwana wa,,
boli,mjamzito,mimba,,
mahewa,muziki,,,
kuro,kahaba,,,
pupuu,kwenda haja kubwa,,,
susuu,kwenda haja ndogo,,,
fathee,baba,,,
chach,kanisa,,,
mathee,mama,,,
ameishia,ameenda,,,
ndonyo,sokoni,,,
bafoo,zamani,,,
totois,msichana,,,
mbus,msichana,,,
atot,msichana,,,
nguna,msichana,,,
kitambo,zamani,,,
shore,msichana,,,
atot,msichana,,,
wode,water,,,
ticha,mwalimu,,,
keja,nyumba,,,
ferare,nauli,,,
tao,mjini,,,
cheki,tazama,,,
mode,mwalimu,,,
buku,kitabu,,,
majuu,ulaya,,,
mzae,mzee,,,
sota,filisika,,,
saikoro,mzee,,,
siz,dada,,,
jesi,yesu,,,
dere,dereva,,,
tizi,mazoezi,,,
sato,jumamosi,,,
sande,jumapili,,,
bro,kaka,,,
bako,mpira wa kikapu,,,
ufala,ujinga,,,
usororaji,udadisi,,,
msapere,mkikuyu,,,
mngoso,mzungu,,,
vinoma,vibaya,,,
videdli,hatari,,,
kuakti,kuigiza,,,
kuplei,kucheza,,,
poko,kahaba,,,
kacha,pingu,,,
mburrcha,matatizo,,,
jamia,kaa,,,
ganda,chapa,,,
ndula,kiatu,,,
mbota,saa,,,
ugata,petroli,,,
dinga,gari,,,
mboch,mjakazi,,,
ngwai,bangi,,,
nangoz,simu,,,
tei,pombe,,,
mawenzere,makalio,,,
manyura,kufa,,,
makagare,mapumbu,,,
ndai,dinga,,,
bufee,nauli,,,
sonko,tajiri,,,
tude,leo,siku hizi,,
chapa,konda,,,
ukedi,ukimwi,,,
bast,angua kicheko,,,
taya,gurudumu,tairi,,
saajaa,mungu,,,
kulav,kupenda,,,
kamu,njoo,,,
kuhet,kuchukia,,,
zidi,nenda,,,
konkodi,utingo,,,
hasla,maskini,,,
chali,mvulana,,,
manzi,msichana,,,
udijoo,mwalimu,,,
stude,mwanafunzi,,,
shagz,mashambani,,,
devoo,shetani,,,
pejez,kurasa,,,
baibo,biblia,,,
besht,rafiki,,,
boots,matiti,,,
chapoo,chapati,,,
chapaa chapchap,pesa za haraka,,,
ongea mob,ongea sana,,,
save chapaa hapa,tunza pesa hapa,,,
usikae ivo ivo,fanya kazi,chakarika,,
sema,habari yako,,,
ni aje,hujambo,habari yako,,
poa,nzuri,,,
amenda akiendanga,amekuwa akienda daima,,,
credo,pesa ya vocha,,,
mtajipanga,mtajijua,,,
umenibamba,umenifurahisha,,,
papa,baba,,,
bob,shilingi moja,,,
mob,nyingi,,,
twende ushago,twende kijijini,,,
beshte,rafiki,,,
skuli,shule,,,
xul,shule,,,
vvu,virusi vya ukimwi,,,
hiv aids,virusi vya ukimwi,,,
hiv,virusi vya ukimwi,,,
arv,dawa za kufubaza virusi vya ukimwi,,,
arvs,dawa za kufubaza virusi vya ukimwi,,,
tunacorona,tuna corona,,,
lais,raisi,,,
nyumban,nyumbani,,,
