Typo,Word
2na,tuna
achen,acheni
athar,athari
adhali,athari
aijafika,haijafika
ajila,ajira
akr,akili
alafu,halafu
amasisha,hamasisha
amasishwa,hamasishwa
ambay,ambayo
amna,hamna
ap,hapo
apa,hapa
apana,hapana
apo,hapo
arikufa,alikufa
asantee,asante
atua,hatua
axant,asante
axante,asante
axanten,asanteni
ay,haya
baadh,baadhi
bdo,bado
bwan,bwana
celew,sielewi
cfaham,sifahamu
chin,chini
cjaelew,sijaelewa
cjaelewa,sijaelewa
cjui,sijui
Cjuw,sijui
ckuridhik,ckuridhika
cna,sina
degree,digrii
elim,elimu
erimu,elimu
et,eti
ety,eti
feza,fedha
gan,gani
gansi,ganzi
gn,gani
ha2na,hatuna
haijafka,haijafika
halingumu,hali ngumu
hamuna,hamna
hanaga,huwa hana
hasante,asante
hay,haya
hko,huko
hodin,wadini
hvyo,hivyo
ijuma,ijumaa
inayopo,iliyopo
intaviyu,usaili
iv,hivi
iyo,hiyo
izi,hizi
jins,jinsi
kabx,kabisa
karbun,karibuni
kari,kali
katk,katika
kaz,kazi
kazin,kazini
kifdha,kifedha
kingereza,kiingereza
kingreza,kiingereza
kisheliya,kisheria
kixaxa,kisasa
krb,karibu
kriniki,kliniki
ktk,katika
ku2ma,kutuma
kuajiliwa,kuajiriwa
Kuelimixha,Kuelimisha
kuenda,kwenda
kufany,kufanya
kujiajir,kujiajiri
kujistr,kujisitiri
kuludi,kurudi
kurud,kurudi
kustop,kuacha
kuulz,kuuliza
kuw,kuwa
kwahiyo,kwa hiyo
kwaiyo,kwa hiyo
kwan,kwani
kwang,kwangu
kwasababu,kwa sababu
kwhy,kwa hiyo
kxenge,kisenge
ladio,radio
lakin,lakini
lakn,lakini
lkn,lakini
m,mimi
maludio,marudio
mamb,mambo
mapenz,mapenzi
maswal,maswali
maswar,maswali
maumiv,maumivu
maxwal,maswali
maxwali,maswali
mbn,mbona
mitixhamba,mitishamba
mm,mimi
mmh,mh
mna2miaj,mnatumiaje
mnamaanixha,mnamaanisha
mnaxemaje,mnasemaje
msahada,msaada
mumenielewa,mmenielewa
mwemah,mwema
mwenyew,mwenyewe
mwish,mwisho
nahtaj,nahitaji
najixikia,najisikia
nakazi,nina kazi
nan,nani
nanyie,nanyi
naomb,naomba
nashukulu,nashukuru
nashukur,nashukuru
nauitaji,nauhitaji
nawez,naweza
nazani,nadhani
nikope,nikopeshe
nikwamba,ni kwamba
nikwm,nikiwamo
nimemalza,nimemaliza
nimeudhuria,nimehudhuria
nin,nini
ninavvojitaheed,ninajitahidi
nindogo,ni ndogo
niny,ninyi
nisehemu,ni sehemu
nisubili,nisubiri
nitatizo,ni tatizo
nkaja,nikaja
nlitaka,nilitaka
nn,nini
npo,nipo
ntoto,mtoto
ntu,mtu
nyie,nyinyi
nying,nyingi
nyingn,nyingine
nyiy,nyinyi
ok,sawa
oky,sawa
opresheni,upasuaji
pa,hapa
pagum,pagumu
period,hedhi
pind,pindi
polis,polisi
ruga,lugha
samaani,samahani
samahan,samahani
shul,shule
shulee,shule
shulni,shuleni
siitaji,sihitaji
sija ajiriwa,sijaajiriwa
sijarielewa,sijalielewa
skaut,skauti
sms,ujumbe
so,kwa hiyo
ss,sisi
talee,tarehe
talehe,tarehe
talifa,taarifa
taree,tarehe
tareh,tarehe
tatzo,tatizo
tulidiscus,tulijadili
tulikua,tulikuwa
twendelee,tuendelee
uchaf,uchafu
upimaj,upimaji
ushauli,ushauri
ususwan,hususan
uwalim,ualimu
uxhaur,ushauri
uxhauri,ushauri
vile vile,vilevile
vit,vitu
w2,watu
wakat,wakati
wakina,akina
wakubw,wakubwa
walim,walimu
wavulan,wavulana
waxeng,wasenge
weng,wengi
wez,wezi
wikend,wikiendi
xababu,sababu
xaidia,saidia
xamahan,samahani
xamahani,samahani
xamaani,samahani
xana,sana
xax,sasa
xhida,shida
xina,sina
xjaona,sijaona
xjaxoma,sijasoma
xmx,ujumbe
xmu,simu
xna,sina
xola,sola
xual,suala
yakuliza,ya kuuliza
yang,yangu
zaid,zaidi
zawd,zawadi
zidi,dhidi
zinausu,zinahusu
kvp,kivipi
vip,vipi
kwann,kwa nini
km,kama
sas,sasa
hamrud,hamrudi
mbna,mbona
mbon,mbona
sehem,sehemu
had,hadi
maofcn,maofisini
